index_id,sheet,x,y,w,h,area_px,selected_by_active_set,semantic_ids
P3-001,3,3,22,371,273,71005,False,
P3-002,3,398,85,262,208,39166,True,F01
P3-003,3,679,85,262,208,39168,False,
P3-004,3,960,85,263,208,39185,False,
P3-005,3,23,322,1206,167,149024,False,
P3-006,3,33,511,78,104,6209,False,
P3-007,3,160,511,79,104,6153,False,
P3-008,3,272,507,55,95,4242,False,
P3-009,3,366,508,55,94,4245,False,
P3-010,3,451,517,51,83,3436,False,
P3-011,3,557,518,53,81,3487,False,
P3-012,3,644,530,46,63,2327,False,
P3-013,3,741,530,46,62,2331,False,
P3-014,3,823,529,85,67,4472,False,
P3-015,3,929,529,86,68,4542,False,
P3-016,3,1041,535,76,60,3625,False,
P3-017,3,1146,535,77,61,3643,False,
P3-018,3,818,610,91,67,4886,False,
P3-019,3,927,607,93,70,5134,False,
P3-020,3,33,627,85,64,4315,True,F02
P3-021,3,166,626,87,65,4535,True,F03
P3-022,3,302,624,92,74,5280,False,
P3-023,3,421,624,93,75,5496,False,
P3-024,3,553,625,91,71,4978,False,
P3-025,3,685,624,94,72,5211,False,
P3-026,3,1072,633,48,34,1267,False,
P3-027,3,1155,632,54,37,1523,False,
P3-028,3,43,719,75,29,999,False,
P3-029,3,176,723,69,25,749,False,
P3-030,3,308,715,76,31,1147,False,
P3-031,3,429,717,76,29,1097,False,
P3-032,3,557,716,91,41,1473,False,
P3-033,3,695,717,87,40,1365,False,
P3-034,3,817,698,91,56,3918,False,
P3-035,3,931,698,89,56,3965,False,
P3-036,3,40,774,111,41,1844,False,
P3-037,3,172,782,73,32,1291,False,
P3-038,3,286,774,117,49,2635,False,
P3-039,3,411,777,85,46,2114,False,
P3-040,3,533,776,107,69,1530,False,
P3-041,3,664,785,93,48,2170,False,
P3-042,3,797,779,109,59,1049,False,
P3-043,3,925,780,87,57,2467,False,
P3-044,3,1075,852,25,26,513,False,
P3-045,3,59,862,92,55,3933,False,
P3-046,3,217,861,92,60,4348,False,
P3-047,3,363,872,93,49,3315,False,
P3-048,3,513,885,81,34,1896,False,
P3-049,3,647,890,94,28,683,False,
P3-050,3,783,888,109,47,2438,False,
P3-051,3,930,887,101,47,1926,False,
P3-052,3,1070,936,40,25,820,False,
P3-053,3,1150,935,40,26,818,False,
P3-054,3,54,944,86,71,5619,False,
P3-055,3,193,949,90,66,5386,False,
P3-056,3,329,969,96,25,1827,False,
P3-057,3,480,966,89,42,2638,False,
P3-058,3,621,976,107,23,1109,False,
P3-059,3,769,967,112,40,1668,False,
P3-060,3,906,965,112,42,1708,False,
P3-061,3,1071,979,36,18,519,False,
P3-062,3,1075,1015,29,27,625,False,
P3-063,3,1156,1015,30,28,666,False,
P3-064,3,911,1040,147,169,13243,False,
P3-065,3,1098,1072,82,35,2260,False,
P3-066,3,37,1039,174,171,4689,False,
P3-067,3,223,1037,178,169,15769,False,
P3-068,3,761,1044,141,161,10792,False,
P3-069,3,411,1039,174,170,13165,False,
P3-070,3,598,1040,153,166,10056,False,
P3-071,3,1083,1125,113,34,2995,False,
P3-072,3,1077,1175,128,38,3773,False,
